Ensembl Gene ID	Associated Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name
ENSG00000160201	U2AF1	44513066	44527697	21
ENSG00000187555	USP7	8985951	9058371	16
ENSG00000112715	VEGFA	43737921	43754224	6
ENSG00000134086	VHL	10182692	10193904	3
LRG_322	LRG_322	5001	17036	LRG_322
ENSG00000109685	WHSC1	1873151	1983934	4
ENSG00000112761	WISP3	112375275	112392171	6
ENSG00000266134	WISP3	112375275	112392172	HG1304_PATCH
ENSG00000165392	WRN	30891317	31031285	8
LRG_524	LRG_524	5001	145500	LRG_524
ENSG00000184937	WT1	32409321	32457176	11
ENSG00000100219	XBP1	29190543	29196585	22
ENSG00000082898	XPO1	61704984	61765761	2
ENSG00000137693	YAP1	101981192	102104154	11
ENSG00000108953	YWHAE	1247566	1303672	17
ENSG00000181722	ZBTB20	114056941	114866118	3
ENSG00000140836	ZFHX3	72816784	73093597	16
ENSG00000091656	ZFHX4	77593454	77779521	8
ENSG00000147130	ZMYM3	70459474	70474996	X
ENSG00000171940	ZNF217	52183604	52226446	20
ENSG00000183779	ZNF703	37553269	37557537	8
ENSG00000169249	ZRSR2	15808595	15841383	X
